sample_id,cell_count,transcript_count,batch,segmentation
ko_166,360382,25743215,batch22,Cellpose1
ko_167,245614,15816703,batch27,Cellpose1
ko_168,160333,7258313,batch26,Cellpose1
ctrl_172,142796,10312667,batch27,Cellpose1
ctrl_173,136750,6113119,batch26,Cellpose1
ctrl_174,322373,29215291,batch22,Cellpose1
wt_709,189147,3823139,batch33,Cellpose1
wt_710,274245,12653294,batch33,Cellpose1
wt_713,247722,11762848,batch33,Cellpose1
ko_166,339814,30812811.8473914,batch22,Proseg
ko_167,244057,18934057.7732427,batch27,Proseg
ko_168,158651,9981009.5014962,batch26,Proseg
ctrl_172,144641,13323767.8802135,batch27,Proseg
ctrl_173,127888,7793024.62813733,batch26,Proseg
ctrl_174,304631,35463686.2299964,batch22,Proseg
wt_709,162943,4387807.48888651,batch33,Proseg
wt_710,267732,13796796.0472998,batch33,Proseg
wt_713,244953,13059266.235108,batch33,Proseg
ko_166,496668,26959818,batch22,Cellpose2
ko_167,360251,17378008,batch27,Cellpose2
ko_168,243980,9036056,batch26,Cellpose2
ctrl_172,225047,12441316,batch27,Cellpose2
ctrl_173,191255,7223480,batch26,Cellpose2
ctrl_174,458532,31921968,batch22,Cellpose2
wt_709,255899,3770386,batch33,Cellpose2
wt_710,374230,11954084,batch33,Cellpose2
wt_713,357246,11287480,batch33,Cellpose2
