"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","Status","cell_type","group","segmentation","platform"
-2.48655447398766,11.6190900592406,-8.20077098420532,1.62423736646844e-05,0.00147805600348628,3.46193279916275,"Cxcr3","Significant (Downregulated)","B cells","KOvsWT","Default","MERSCOPE"
-3.08354817601079,11.1643444297465,-6.01642104234383,0.000184358790519152,0.0083883249686214,1.10257426171522,"Tbx21","Significant (Downregulated)","B cells","KOvsWT","Default","MERSCOPE"
0.759785657404032,11.285301210819,5.39529380493807,0.000409331134691387,0.0124163777523054,0.00503836800675472,"Bcl2a1a","Not Significant","B cells","KOvsWT","Default","MERSCOPE"
0.711847823420982,10.8542393614197,4.8538347899197,0.000857416796490519,0.0187897485446034,-0.80586689667449,"Gstt2","Not Significant","B cells","KOvsWT","Default","MERSCOPE"
-2.65645430765397,11.3197757783047,-4.72249679464875,0.001032403766187,0.0187897485446034,-0.88930342975827,"Adgre1","False Significant","B cells","KOvsWT","Default","MERSCOPE"
1.17411007740119,15.9269769858763,4.01103471843795,0.0029480983282767,0.0396270964952758,-1.64567216369916,"Fcer2a","False Significant","B cells","KOvsWT","Default","MERSCOPE"
-1.1995148977034,11.3941826879952,-3.98915252300169,0.00304823819194429,0.0396270964952758,-2.10201213747647,"Bhlhe41","Significant (Downregulated)","B cells","KOvsWT","Default","MERSCOPE"
-0.625771832043942,13.1707727561774,-3.8171239708872,0.00397255365278602,0.0451877978004409,-2.23909838523939,"Ccnd3","Not Significant","B cells","KOvsWT","Default","MERSCOPE"
-0.527846230990979,12.3721520675857,-3.73365620817759,0.00452360706037248,0.0457386936104329,-2.44683527305213,"Tet2","Not Significant","B cells","KOvsWT","Default","MERSCOPE"
0.912337713028458,11.9588627680954,3.66320242656083,0.00505129026107869,0.0459667413758161,-2.58718921040736,"Bcl10","Not Significant","B cells","KOvsWT","Default","MERSCOPE"
-0.950759182372334,9.12206983795641,-3.10902900657465,0.0122690034601121,0.0930399429058503,-3.13879863476159,"Siglech","Not Significant","B cells","KOvsWT","Default","MERSCOPE"
0.866767547554289,14.7269749280945,3.14871715086462,0.0115018887856701,0.0930399429058503,-3.15198094513831,"Ifi30","Not Significant","B cells","KOvsWT","Default","MERSCOPE"
0.56031291606487,10.2537972300759,3.03734079019419,0.0137910270841589,0.096537189589112,-3.68150781204725,"Cxcl10","Not Significant","B cells","KOvsWT","Default","MERSCOPE"
0.954748831954856,17.4896755180816,2.54838596348778,0.0308519447146464,0.175470435564551,-3.84035715613275,"Ighd","Not Significant","B cells","KOvsWT","Default","MERSCOPE"
-0.366580081716096,10.5936993810508,-2.77579470285104,0.0211899273148734,0.137734527546677,-4.11237710286659,"Ppt1","Not Significant","B cells","KOvsWT","Default","MERSCOPE"
