"sample_id","cell_count","transcript_count","batch","segmentation"
"ctrl_173",73121,39012673,"batch34","Nuclear expansion"
"wt_710",161248,61929223,"batch34","Nuclear expansion"
"wt_709",236600,102637175,"batch34","Nuclear expansion"
"ctrl_174",205157,64257563,"batch34","Nuclear expansion"
"ctrl_172",148539,59825991,"batch34","Nuclear expansion"
"ctrl_173",69119,62464206.6742365,"batch34","Proseg"
"wt_710",140449,93007033.6616267,"batch34","Proseg"
"wt_709",203963,117524404.821382,"batch34","Proseg"
"ctrl_174",181079,70954999.761733,"batch34","Proseg"
"ctrl_172",128601,78529524.8175143,"batch34","Proseg"
"ctrl_173",287498,79943999,"batch34","Cellpose2"
"wt_710",340319,90813316,"batch34","Cellpose2"
"wt_709",390651,115846748,"batch34","Cellpose2"
"ctrl_174",325314,70289852,"batch34","Cellpose2"
"ctrl_172",299568,77787326,"batch34","Cellpose2"
